개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
조리체육공원 축구장,조리체육공원,기타,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):60000원+평일(야간):80000원+토공휴일(주간):75000원+토공휴일(야,0,0,300,17162,인조잔디구장1면,파주시청홈페이지,,경기도 파주시 조리읍 소곡로 54,경기도 파주시 조리읍 봉일천리 254-2,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.74699036,126.8162726,2023-05-02,4060000,경기도 파주시
월롱100주년기념체육관 다목적경기장,월롱100주년기념체육관,체육관,둘째 주 월,09:00,22:00,09:00,22:00,Y,24,1시간:1000원+1시간 이상 : 2000원,0,0,100,1689,실내(배드민턴+농구+배구)+실외(테니스),유선신청+현장접수,,경기도 파주시 월롱면 휴암로 434,경기도 파주시 월롱면 능산리 663,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.8297692,126.7802923,2023-05-02,4060000,경기도 파주시
문산국민체육센터 다목적경기장,문산국민체육센터,체육관,둘째 주 월,09:00,22:00,09:00,22:00,Y,24,1시간:1000원+1시간 이상 : 2000원,0,0,100,1968,실내(배드민턴+농구+배구),유선신청+현장접수,,경기도 파주시 문산읍 율곡로 408,경기도 파주시 문산읍 임진리 29-9,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.88406054,126.793643,2023-05-02,4060000,경기도 파주시
운정파크골프장,운정파크골프장,골프장,둘째 주 월,09:00,17:00,09:00,17:00,Y,24,일반인:3000원+65세이상:1500원+장애인:1500,0,0,50,9883,파크골프장9홀,현장접수,,경기도 파주시 소리천로 91,경기도 파주시 와동동 1418,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.72022355,126.7638069,2023-05-02,4060000,경기도 파주시
심학산파크골프장,심학산파크골프장,골프장,둘째 주 월,09:00,17:00,09:00,17:00,Y,24,일반인:3000원+65세이상:1500원+장애인:1500,0,0,150,18883,파크골프장18홀,현장접수,,경기도 파주시 동패동 2112,경기도 파주시 동패동 2112,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.7091441,126.7097236,2023-05-02,4060000,경기도 파주시
심학산풋살구장,심학산풋살구장,풋살경기장,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):30000원+평일(야간):45000원+토공휴일(주간):45000원+토공휴일(야,0,0,50,6431,풋살구장2면,파주시청홈페이지,,경기도 파주시 문산읍 자유로 4545,경기도 파주시 문산읍 당동리 129-1,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.8627776670,126.7648710670,2023-05-02,4060000,경기도 파주시
조리풋살구장,조리풋살구장,풋살경기장,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):30000원+평일(야간):45000원+토공휴일(주간):45000원+토공휴일(야,0,0,50,3230,풋살구장1면,파주시청홈페이지,,경기도 파주시 문산읍 자유로 4545,경기도 파주시 문산읍 당동리 129-1,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.8627776670,126.7648710670,2023-05-02,4060000,경기도 파주시
인천광역시 남동구청 대강당,인천광역시 남동구청,강당,기 대관 완료일(유동적),18:00,21:00,09:00,18:00,Y,1,80000,1,80000,520,554,스크린+음향시설,방문,,인천광역시 남동구 소래로633,인천광역시 남동구 만수동 1008,인천광역시 남동구청,총무과,032-453-2185,www.namdong.go.kr,37.4473902,126.7306784,2023-05-12,3530000,인천광역시 남동구
인천광역시 남동구청 소강당,인천광역시 남동구청,강당,기 대관 완료일(유동적),18:00,21:00,09:00,18:00,Y,1,50000,1,50000,130,376,스크린+음향시설,방문,,인천광역시 남동구 소래로633,인천광역시 남동구 만수동 1008,인천광역시 남동구청,총무과,032-453-2185,www.namdong.go.kr,37.4473902,126.7306784,2023-05-12,3530000,인천광역시 남동구
대구교육연수원 대강의실,대구교육연수원,강의실,설연휴+추석 연휴,09:00,18:00,09:00,18:00,Y,8,20000,0,0,60,130,책상+의자,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000005442,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
대구교육연수원 중강의실,대구교육연수원,강의실,설연휴+추석 연휴,09:00,18:00,09:00,18:00,Y,8,20000,0,0,40,90,책상+의자,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000005442,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
수협효시공원 전시실,수협효시공원,전시실,1월1일+월+설날+추석,09:00,18:00,09:00,18:00,N,,,,,100,1314,빔프로젝터+조명+음향시설,방문+전화,https://www.gmdc.co.kr/_suh/sub03.html,경상남도 거제시 사등면 가조서로 7,경상남도 거제시 사등면 창호리 2080,거제해양관광개발공사,관광휴양팀(수협효시공원),055-639-8340,https://www.gmdc.co.kr/_suh/,34.9295491,128.5251429,2023-05-15,B552833,거제해양관광개발공사
거제시공공청사 강당,거제시공공청사,강당,국가공휴일,09:00,23:00,09:00,18:00,Y,3,60500,1,11000,96,204,빔프로젝터+조명+음향시설+냉난방,인터넷,https://www.gmdc.co.kr/_daegwan/_sub01/sub01_02_01.html,경상남도 거제시 거제중앙로 1849,경상남도 거제시 고현동 158-1,거제해양관광개발공사,인사총무팀,055-639-8204,https://cheongsa.gmdc.co.kr:444/main.html,34.88346542,128.625299,2023-05-15,B552833,거제해양관광개발공사
거제해양레포츠센터 강의실,거제해양레포츠센터,기타,월+설날+추석+1월1일,09:00,18:00,09:00,18:00,Y,3,15000,0,0,20,174,크루저+딩기요트+윈드서핑+오메가요트+카약 등,인터넷+전화+방문,https://www.gmdc.co.kr/_yacht/_sub02/sub02_01.html,경상남도 거제시 일운면 지세포해안로 43,경상남도 거제시 일운면 지세포리 929-121,거제해양관광개발공사,해양관광팀(해양레포츠센터),055-639-8285,https://www.gmdc.co.kr/_yacht/,34.83279067,128.7023166,2023-05-15,B552833,거제해양관광개발공사
오션사이드수영장,거제문화예술회관별관,기타,일요일+법정공휴일,05:00,20:00,07:00,18:00,Y,,5000,0,0,100,2412,샤워실+탈의실+GX룸,방문,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_25.html,경상남도 거제시 장승로 145,경상남도 거제시 장승포동 426-33,거제해양관광개발공사,공공시설팀(오션사이드수영장),055-639-8143,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_25.html,34.86717837,128.7233576,2023-05-15,B552833,거제해양관광개발공사
영도구청대강당,영도구청사,강당,연중무휴,09:00,20:00,09:00,18:00,Y,2,190000,2,42000,290,473.46,조명 및 음향시설(1식),방문+인터넷,http://www.yeongdo.go.kr/00492/00551/00566.web,부산광역시 영도구 태종로 423,부산광역시 영도구 청학동 48-3,부산광역시 영도구청,행정지원과,051-419-4162,http://www.yeongdo.go.kr/reserve/01786/02100/01808.web,35.0912179,129.0679102,2023-05-12,3280000,부산광역시 영도구
부산광역시 남구 대강당,부산광역시 남구청,강당,연중무휴,10:00,18:00,10:00,18:00,Y,1,100000,1,20000,200,433.16,,방문,Y,부산광역시 남구 못골로 19(대연동),부산광역시 남구 대연동 1268-1,부산광역시 남구청,재무과,051-607-4152,http://www.bsnamgu.go.kr/index.namgu?menuCd=DOM_000000103005004000,35.136578,129.084246,2023-05-10,3310000,부산광역시 남구
